date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:50	84853/84853	---M--	200	added ('OK')	image/png	etag:%226740aafd-14b75%22	https://www.bg87.com/images/design/inscriptions_interrompues.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/inscriptions_interrompues.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:51	95286/95286	---M--	200	added ('OK')	image/png	etag:%226740aafd-17436%22	https://www.bg87.com/images/design/inscription_ancien.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/inscription_ancien.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:52	113160/113160	---M--	200	added ('OK')	image/png	etag:%226740aafd-1ba08%22	https://www.bg87.com/images/design/inscription_nouvel.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/inscription_nouvel.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:53	94549/94549	---M--	200	added ('OK')	image/png	etag:%226740aafd-17155%22	https://www.bg87.com/images/design/inscription_inferieur.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/inscription_inferieur.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:54	99512/99512	---M--	200	added ('OK')	image/png	etag:%226740aafd-184b8%22	https://www.bg87.com/images/design/inscription_intermediaire.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/inscription_intermediaire.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:55	98637/98637	---M--	200	added ('OK')	image/png	etag:%226740aafd-1814d%22	https://www.bg87.com/images/design/inscription_carte_don.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/inscription_carte_don.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:56	76236/76236	---M--	200	added ('OK')	image/png	etag:%226740aafd-129cc%22	https://www.bg87.com/images/design/inscription_carte_sans_don.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/inscription_carte_sans_don.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:57	120626/120626	---M--	200	added ('OK')	image/png	etag:%226740aafd-1d732%22	https://www.bg87.com/images/design/inscription_paiement_bank.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/inscription_paiement_bank.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:57	11431/11431	---M--	200	added ('OK')	image/png	etag:%226740aafd-2ca7%22	https://www.bg87.com/images/design/inscription_mail.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/inscription_mail.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:58	12206/12206	---M--	200	added ('OK')	image/png	etag:%226740aafd-2fae%22	https://www.bg87.com/images/design/inscription_paiement_ligne.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/inscription_paiement_ligne.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
